transE_high_s47	transE_low_s45	transE_medium_s46	transE_pre_s48
1472	2008	1571	2270
1877	1789	2169	2212
0	0	0	0
65	0	166	71
0	0	0	0
0	0	0	0
0	127	318	182
146	79	18	0
0	0	0	0
0	0	0	0
0	0	0	0
780	659	133	448
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
89	34	10	11
3	8	16	6
2782	892	3112	2537
293	285	567	762
0	0	0	0
0	0	0	0
1678	1321	2979	1656
0	0	0	0
0	0	0	0
33	0	0	0
346	209	594	305
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
616	960	1246	968
0	0	0	0
813	1049	380	1395
780	310	49	221
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3023	913	3288	1837
0	28	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
9332	9008	8510	10429
1406	2034	1230	1733
0	0	0	0
1591	1963	2467	2409
0	0	0	0
0	0	0	0
897	582	382	926
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1708	722	618	1827
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
450	152	441	201
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3159	3248	2762	3968
0	0	0	0
0	0	0	0
182	154	275	144
520	348	115	554
20	128	0	72
4792	5313	10094	4953
8	433	83	94
76	47	153	59
0	180	23	79
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
171	258	248	110
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	102	46	13
0	0	0	0
0	0	0	0
0	0	0	0
2734	5402	4441	6798
678	526	1547	819
0	0	0	0
0	162	0	0
0	55	8	129
0	0	0	0
0	0	0	0
13878	11222	3194	15067
0	0	0	0
0	0	0	0
165	0	143	69
292	231	752	733
1364	1498	2540	1053
277	82	95	75
0	0	0	0
0	0	0	0
1619	639	1677	1600
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
360	764	618	324
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
34	54	312	196
313	528	256	688
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	9	0	0
0	0	0	0
0	0	0	0
17550	10205	19528	13409
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
47	286	10	143
0	0	0	0
737	767	743	1303
183	0	0	72
1030	365	1748	783
215	126	31	153
1900	4213	1134	3793
2701	1484	3280	3611
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3482	6218	4065	6362
0	0	0	0
0	341	61	306
0	0	7	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
415	255	965	422
0	0	0	0
1048	1237	5253	1408
2673	3294	1651	3672
0	0	0	0
2559	3989	1689	3454
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
58	0	222	549
0	0	0	0
0	0	0	0
514	148	345	235
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
233	670	29	312
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
82	259	22	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
73	383	118	390
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
775	174	321	707
0	0	0	0
0	0	0	0
6918	3498	6439	8073
0	0	0	0
0	0	0	0
1361	1221	1314	1113
0	0	0	0
0	0	0	0
0	0	0	0
0	49	196	52
0	0	5	0
266	93	219	372
224	748	686	1327
0	0	24	0
0	0	0	0
185	3388	954	963
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
58	1	14	103
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
57	0	0	0
0	387	218	132
583	752	613	615
214	149	115	569
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
92	699	1175	556
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
480	7961	4541	2394
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
231	331	569	346
0	0	0	0
404	550	961	1673
20	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
25	121	85	161
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4142	5212	3476	6261
0	0	0	0
32	376	602	301
0	0	0	0
0	0	0	0
0	0	0	0
87	75	109	0
0	0	0	0
0	0	0	0
0	0	0	0
4265	4074	5040	4780
0	0	0	0
437	987	173	477
0	0	0	0
831	313	355	901
26	0	202	165
0	0	0	0
0	0	0	0
14	0	0	0
0	0	0	84
0	0	0	0
46	109	109	162
0	0	0	0
0	0	0	0
91	175	0	36
383	365	736	531
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
137	0	0	29
0	0	0	0
0	0	0	0
0	0	0	0
1	58	44	384
213	501	690	316
0	0	0	0
3203	3800	4743	2741
757	1273	1402	1458
2884	3171	6281	4598
0	0	14	0
74	636	310	604
0	0	0	0
0	0	5	0
0	0	0	0
23	0	0	0
104	376	527	428
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	15	0
0	0	0	0
0	0	0	0
358	704	300	370
0	0	0	0
0	0	0	0
2702	5799	5632	4200
206	123	4	95
0	0	0	0
0	0	0	0
2399	1400	4144	1730
0	0	61	0
2119	2376	1036	2813
0	0	0	0
273	378	483	121
0	0	0	0
0	0	0	0
382	513	424	98
0	0	0	0
0	0	0	0
0	0	65	0
1477	1546	1877	1815
41	0	0	0
0	0	0	0
0	0	0	0
885	474	1346	1433
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1982	1055	1566	1355
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4410	4647	10983	4993
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
231	612	389	509
0	0	0	0
0	0	0	0
1638	2092	1287	2225
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
94	707	480	67
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1016	361	714	541
947	821	594	1356
2415	2578	4836	3282
0	0	0	0
10317	8724	12554	10648
0	0	0	0
1629	667	2788	1349
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
128	58	216	177
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	55	0	0
0	0	0	28
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
625	83	114	199
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
196	198	133	138
0	0	0	0
0	0	0	0
