"transE_high_s47"	"transE_low_s45"	"transE_medium_s46"	"transE_pre_s48"
"A1BG"	3414	3797	3906	4553
"A1CF"	146	206	336	182
"A2M"	780	659	133	448
"A3GALT2"	3167	1219	3705	3316
"A4GALT"	1678	1321	2979	1656
"A4GNT"	379	209	594	305
"AACS"	616	960	1246	968
"AADAC"	1593	1359	429	1616
"AADACL3"	3023	941	3288	1837
"AADAT"	12329	13005	12207	14571
"AAED1"	897	582	382	926
"AAK1"	1708	722	618	1827
"AAMDC"	450	152	441	201
"AANAT"	3159	3248	2762	3968
"AAR2"	722	630	390	770
"AARD"	4876	5973	10353	5185
"AARS2"	171	258	248	110
"AASDH"	0	102	46	13
"AASDHPPT"	3412	5928	5988	7617
"AASS"	0	217	8	129
"AATF"	13878	11222	3194	15067
"AATK"	2098	1811	3530	1930
"ABAT"	1619	639	1677	1600
"ABCA10"	360	764	618	324
"ABCA13"	347	582	568	884
"ABCA2"	0	9	0	0
"ABCA3"	17550	10205	19528	13409
"ABCA5"	784	1053	753	1446
"ABCA6"	3328	4704	2913	4801
"ABCA7"	2701	1484	3280	3611
"ABCA8"	3482	6559	4126	6668
"ABCA9"	0	0	7	0
"ABCB10"	1463	1492	6218	1830
"ABCB11"	5232	7283	3340	7126
"ABCB5"	58	0	222	549
"ABCB6"	514	148	345	235
"ABCB7"	233	670	29	312
"ABCB9"	82	259	22	0
"ABCC1"	73	383	118	390
"ABCC11"	7693	3672	6760	8780
"ABCC12"	1361	1221	1314	1113
"ABCC2"	0	49	201	52
"ABCC3"	490	841	929	1699
"ABCC4"	185	3388	954	963
"ABCC5"	58	1	14	103
"ABCC9"	640	1139	831	747
"ABCD1"	214	149	115	569
"ABCD2"	92	699	1175	556
"ABCD4"	480	7961	4541	2394
"ABCF1"	231	331	569	346
"ABCF2"	424	550	961	1673
"ABCF3"	25	121	85	161
"ABCG2"	4142	5212	3476	6261
"ABCG4"	32	376	602	301
"ABCG5"	87	75	109	0
"ABCG8"	4702	5061	5213	5257
"ABHD1"	857	313	557	1066
"ABHD10"	60	109	109	246
"ABHD11"	474	540	736	567
"ABHD13"	137	0	0	29
"ABHD14A"	3417	4359	5477	3441
"ABHD14B"	3715	5080	8007	6660
"ABHD15"	23	0	5	0
"ABHD16A"	104	376	527	428
"ABHD16B"	0	0	15	0
"ABHD17A"	358	704	300	370
"ABHD17B"	2908	5922	5636	4295
"ABHD17C"	4518	3776	5241	4543
"ABHD2"	655	891	907	219
"ABHD3"	1477	1546	1942	1815
"ABHD4"	926	474	1346	1433
"ABHD8"	1982	1055	1566	1355
"ABI3"	4410	4647	10983	4993
"ABL1"	1869	2704	1676	2734
"ABLIM1"	94	707	480	67
"ABLIM3"	4378	3760	6144	5179
"ABO"	11946	9391	15342	11997
"ABRA"	128	58	216	177
"ABRACL"	0	55	0	0
"ABT1"	0	0	0	28
"ABTB2"	625	83	114	199
"ACACA"	196	198	133	138
"ACACB"	552	1104	1404	1003
"ACAD8"	4015	5047	2362	5556
"ACADL"	274	170	60	588
"ACADM"	30	0	0	0
"ACADVL"	0	57	21	127
"ACAN"	2470	2495	3719	1904
"ACAP2"	1841	2919	1928	3569
"ACAP3"	314	234	283	212
"ACAT2"	784	428	1104	445
"ACBD3"	770	439	305	705
"ACBD4"	463	322	512	780
"ACBD5"	42	141	79	0
"ACBD6"	367	176	319	232
"ACBD7"	9	190	30	332
"ACCS"	780	1393	581	1079
"ACE"	395	187	385	447
"ACE2"	5428	4072	4726	5186
"ACER2"	128	471	588	532
"ACER3"	0	1602	554	873
"ACHE"	635	926	1550	1308
"ACIN1"	324	407	376	344
"ACKR2"	4786	2834	6242	5034
"ACKR3"	2452	3094	6732	2419
"ACKR4"	5101	6732	5580	5573
"ACLY"	87	131	19	52
"ACMSD"	1761	2063	2969	1721
"ACO2"	0	0	63	0
"ACOT11"	1098	2715	4538	2485
"ACOT13"	3166	1494	2036	2728
"ACOT4"	1680	1077	3598	2753
"ACOT7"	378	368	816	380
"ACOT8"	139	153	142	250
"ACOT9"	416	557	409	838
"ACOX1"	356	361	789	641
"ACOX2"	156	351	78	289
"ACOX3"	2676	703	2442	2779
"ACOXL"	0	0	3	0
"ACP1"	89	148	156	135
"ACP2"	1509	1488	1738	2007
"ACP5"	3259	3194	4328	2341
"ACP6"	0	0	61	0
"ACPP"	5704	4621	5964	5705
"ACPT"	14564	19616	25728	20670
"ACRBP"	0	0	0	1
"ACRC"	5378	4727	5181	5510
"ACRV1"	0	0	0	114
"ACSBG1"	403	670	636	593
"ACSBG2"	893	1719	2567	1103
"ACSF2"	0	30	8	3
"ACSF3"	3472	3501	6618	3307
"ACSL4"	131	523	309	435
"ACSL5"	225	151	89	229
"ACSM2A"	719	4183	1439	2927
"ACSM2B"	0	1	0	1
"ACSM3"	6297	6593	6783	8513
"ACSM4"	62	4	72	118
"ACSM5"	0	0	26	154
"ACSM6"	357	165	724	562
"ACSS2"	465	1067	564	1036
"ACSS3"	63	613	413	349
"ACTA1"	434	455	922	845
"ACTA2"	48	287	398	135
"ACTC1"	2200	3655	2408	2484
"ACTG2"	39	0	30	68
"ACTL10"	2506	9714	11130	7715
"ACTL6B"	408	0	239	211
"ACTL7A"	6422	5342	10946	8622
"ACTL7B"	1624	1295	2068	2397
"ACTL8"	2347	2328	2475	2158
"ACTN1"	115	196	152	140
"ACTN2"	0	0	33	0
"ACTN3"	155	447	325	76
"ACTR3"	0	0	48	46
"ACTR3B"	74	60	12	22
"ACTR3C"	0	0	14	8
"ACTR5"	17	0	0	0
"ACTR6"	376	669	640	454
"ACTR8"	931	834	1449	1284
"ACTRT2"	3251	3184	4203	3690
"ACTRT3"	37	0	6	123
"ACVR1"	2630	1445	2622	3700
"ACVR1B"	114	176	211	56
"ACVR1C"	2007	1920	1871	1976
"ACVR2A"	2109	2755	2101	2657
"ACVR2B"	723	0	345	357
"ACVRL1"	9794	2326	9489	5804
"ACY1"	3417	5145	7084	5543
"ACY3"	59	7	557	24
"ACYP2"	2678	4473	4131	4456
"ADA"	2780	1817	6295	3294
"ADAD1"	3777	3885	2640	4485
"ADAL"	7646	6112	7988	8773
"ADAM10"	384	545	131	596
"ADAM11"	1137	1208	2541	2140
"ADAM12"	1265	2404	1708	2209
"ADAM18"	3008	2681	1451	2284
"ADAM19"	42	0	81	171
"ADAM2"	25	0	0	0
"ADAM20"	2056	2898	1520	2078
"ADAM21"	440	156	158	57
"ADAM28"	2101	2116	1134	2477
"ADAM29"	353	655	639	799
"ADAM7"	11782	14905	7005	16792
"ADAM8"	1446	1183	1386	1237
"ADAM9"	0	0	0	1
"ADAMDEC1"	6803	5790	6844	7408
"ADAMTS1"	0	280	169	184
"ADAMTS10"	0	0	19	0
"ADAMTS14"	0	0	0	55
"ADAMTS15"	1307	1533	1030	1356
"ADAMTS16"	135	436	630	301
"ADAMTS17"	1373	3263	3014	2534
"ADAMTS18"	508	231	307	523
"ADAMTS2"	1784	1290	1751	1067
"ADAMTS20"	1201	782	1653	1769
"ADAMTS3"	0	26	0	0
"ADAMTS4"	918	1160	634	1056
"ADAMTS6"	7045	3875	7364	6488
"ADAMTS7"	4407	4886	2131	3958
"ADAMTS8"	11078	9054	11121	9981
"ADAMTSL2"	3490	3728	4816	9052
"ADAMTSL4"	3576	4432	5706	5945
"ADAMTSL5"	788	392	1121	375
"ADAP1"	125	512	27	312
"ADAP2"	2	0	0	0
"ADAR"	0	906	215	352
"ADARB1"	814	1080	756	1482
"ADARB2"	2314	3423	5686	4287
"ADAT1"	2844	3876	4655	5389
"ADCK1"	0	143	47	0
"ADCK2"	177	0	70	218
"ADCK3"	107	0	121	48
"ADCK4"	1175	1151	2252	2286
"ADCK5"	1750	2038	3030	2763
"ADCY1"	11584	11197	21073	13796
"ADCY10"	39	161	0	73
"ADCY3"	1140	1310	1114	1249
"ADCY4"	0	0	0	235
"ADCY5"	5	0	3	1
"ADCY6"	0	0	50	66
"ADCY8"	9780	6442	14643	10934
"ADCY9"	8344	8893	15592	9825
"ADCYAP1R1"	1855	1631	3414	1859
"ADD1"	0	0	31	0
"ADGRA1"	431	113	918	169
"ADGRA2"	425	482	449	505
"ADGRA3"	112	668	481	163
"ADGRB2"	2550	3286	4951	2531
"ADGRB3"	394	239	617	198
"ADGRD1"	332	0	74	369
"ADGRE3"	165	0	7	223
"ADGRE5"	997	860	1545	1393
"ADGRF1"	10	1808	754	706
"ADGRF2"	3447	11600	5840	7636
"ADGRF3"	811	904	1987	1466
"ADGRF5"	4037	3269	4715	4833
"ADGRG1"	1497	2019	3550	2801
"ADGRG2"	1537	1111	1377	2161
"ADGRG3"	594	415	325	371
"ADGRG4"	3419	2664	2934	3867
"ADGRG5"	2153	860	1439	2248
"ADGRG7"	9416	9721	9072	12177
"ADGRL2"	173	197	269	98
"ADGRL3"	38	437	188	61
"ADGRV1"	29	0	0	31
"ADH1A"	630	707	286	460
"ADH1B"	44	90	96	1
"ADH1C"	3142	3527	4477	3328
"ADH6"	0	100	0	48
"ADH7"	251	176	509	556
"ADHFE1"	6734	6002	12735	6622
"ADI1"	0	0	32	83
"ADIPOQ"	79	0	203	74
"ADIPOR1"	52	85	53	78
"ADIPOR2"	173	358	259	393
"ADIRF"	558	969	922	699
"ADK"	678	1951	1544	1311
"ADM"	329	142	283	224
"ADM2"	537	576	947	839
"ADM5"	123	432	108	355
"ADNP"	15	56	134	191
"ADNP2"	1198	767	608	1347
"ADORA2B"	1046	1345	1244	1564
"ADORA3"	2234	1996	3409	1513
"ADPGK"	201	192	365	620
"ADPRH"	1661	247	957	1101
"ADPRHL1"	757	525	1315	823
"ADPRHL2"	269	166	228	573
"ADPRM"	625	773	105	663
"ADRA1A"	2467	2517	5315	3891
"ADRA1B"	56	244	99	210
"ADRA1D"	192	0	264	129
"ADRA2A"	2997	2306	6740	3005
"ADRA2B"	5222	4520	10656	6895
"ADRB1"	1397	1068	1250	956
"ADRB3"	121	581	1070	875
"ADRBK1"	0	0	67	0
"ADRBK2"	86	0	47	127
"ADRM1"	0	0	0	94
"ADSSL1"	27	0	49	71
"ADTRP"	293	255	550	206
"AEBP1"	978	453	923	620
"AEBP2"	135	1053	209	707
"AEN"	184	428	296	193
"AFAP1"	604	1893	1378	1564
"AFAP1L2"	312	231	275	419
"AFF1"	134	80	86	68
"AFF2"	211	263	10	30
"AFF4"	708	1028	2499	2120
"AFM"	3464	3944	1701	3802
"AFP"	2029	2850	1256	1983
"AFTPH"	45955	44400	33093	57109
"AGA"	0	0	8	0
"AGAP11"	9593	8572	15124	12654
"AGAP2"	3	0	0	0
"AGAP4"	175	0	127	33
"AGAP6"	260	154	156	85
"AGBL2"	77805	66023	53966	73985
"AGBL3"	109	74	48	0
"AGBL4"	3646	4114	6628	4965
"AGBL5"	246	455	524	800
"AGER"	213	133	517	334
"AGFG2"	318	204	887	1015
"AGMAT"	155	344	441	476
"AGMO"	800	1175	742	1056
"AGO1"	0	31	0	0
"AGO2"	1155	957	1572	1585
"AGO3"	235	473	10	182
"AGO4"	83	0	31	163
"AGPAT3"	170	67	225	198
"AGPAT4"	1579	1542	2563	1321
"AGPAT5"	35	222	391	146
"AGPAT6"	30	200	305	206
"AGPAT9"	73	0	0	0
"AGPS"	0	0	12	0
"AGR2"	329	1187	274	786
"AGRN"	1157	536	846	660
"AGRP"	2085	3058	2909	3252
"AGT"	5157	1993	3268	5021
"AGTPBP1"	4680	4932	4135	6335
"AGTR1"	124	49	53	342
"AGXT2"	69	0	7	43
"AHCYL2"	1736	1718	3611	2271
"AHDC1"	0	55	51	63
"AHNAK"	2902	4044	1389	4338
"AHNAK2"	501	1174	1051	773
"AHR"	2202	3151	1501	2568
"AHRR"	1606	138	621	427
"AHSA1"	1037	653	464	1319
"AHSA2"	2402	2141	2537	3082
"AHSP"	303	320	385	280
"AICDA"	2730	6868	7354	5758
"AIDA"	592	449	578	187
"AIF1"	63	408	149	251
"AIF1L"	1364	1142	1467	686
"AIFM3"	0	398	71	259
"AIG1"	0	0	9	0
"AIM1"	2262	2651	3275	2492
"AIM1L"	327	186	151	394
"AIM2"	440	233	802	615
"AIMP1"	8389	6620	2182	6468
"AIP"	880	1168	2521	1799
"AIPL1"	173	1663	1862	810
"AIRE"	273	118	92	185
"AJAP1"	9386	8984	9726	11364
"AJUBA"	2040	10087	5401	3461
"AK1"	507	1211	1427	1412
"AK2"	4605	3617	4739	3908
"AK4"	319	604	321	421
"AK5"	237	225	102	214
"AK7"	3798	4029	2246	4492
"AK8"	36	48	0	0
"AK9"	2259	3028	1392	2930
"AKAP11"	40	0	0	0
"AKAP12"	209	542	886	520
"AKAP13"	1876	4111	5050	3167
"AKAP14"	12176	13597	22385	13722
"AKAP17A"	821	992	1449	1721
"AKAP3"	4085	5408	5109	4492
"AKAP6"	1831	1765	3391	2075
"AKAP7"	2313	3383	878	2335
"AKAP8"	4893	3949	3136	4885
"AKAP8L"	313	0	283	208
"AKAP9"	5212	4894	3215	4179
"AKIP1"	4492	2349	4206	5687
"AKIRIN2"	35	275	47	125
"AKNA"	0	77	28	0
"AKR1A1"	3493	4903	1546	5620
"AKR1B1"	0	111	55	66
"AKR1B10"	3293	2910	2505	3543
"AKR1B15"	0	727	343	321
"AKR1C1"	1073	937	639	1628
"AKR1C3"	75	672	549	355
"AKR1C4"	263	173	0	363
"AKR1D1"	16	0	9	0
"AKR1E2"	3165	2667	3577	3786
"AKR7A2"	0	59	124	105
"AKR7A3"	1813	1279	1517	2183
"AKT1"	270	0	64	260
"AKTIP"	147	257	24	130
"ALAD"	1004	1421	2617	1688
"ALAS1"	1814	1679	1178	2190
"ALAS2"	147	0	66	122
"ALB"	637	146	656	414
"ALCAM"	5861	5610	7751	5447
"ALDH16A1"	7953	3114	3300	4535
"ALDH18A1"	1459	1662	1073	1290
"ALDH1A1"	179	196	102	132
"ALDH1A2"	891	229	1098	504
"ALDH1A3"	33	512	965	604
"ALDH1B1"	2235	1611	5389	4129
"ALDH2"	1962	589	2716	1319
"ALDH3A2"	2580	1852	3183	2684
"ALDH3B1"	719	408	1011	642
"ALDH3B2"	4633	4617	2994	5091
"ALDH4A1"	99	0	13	175
"ALDH5A1"	237	57	81	263
"ALDH6A1"	2710	2231	1314	2668
"ALDH7A1"	97	259	35	57
"ALDH8A1"	3087	2253	5209	3850
"ALDH9A1"	82	0	22	65
"ALDOC"	2726	1934	4056	2907
"ALG10"	1345	551	2011	1050
"ALG10B"	0	146	49	0
"ALG11"	39	1	0	134
"ALG14"	1084	1033	1324	1190
"ALG1L"	318	0	181	226
"ALG5"	1880	1684	1376	2693
"ALG6"	3465	2718	2724	3716
"ALKBH1"	5558	7308	3343	7488
"ALKBH2"	42	0	0	0
"ALKBH3"	3130	3676	2269	3270
"ALKBH4"	17956	17763	33083	25066
"ALKBH5"	21	60	36	83
"ALKBH8"	22324	17846	14073	26731
"ALLC"	173	388	397	510
"ALMS1"	2130	972	1195	1126
"ALOX12"	1492	489	869	1045
"ALOX12B"	5027	3811	7957	4651
"ALOX15"	0	0	7	0
"ALOX5AP"	131	645	323	80
"ALPI"	2008	2382	2729	3553
"ALPK1"	5426	4624	11843	5754
"ALPK3"	186	135	256	68
"ALPL"	685	345	984	1291
"ALPP"	3263	2676	3519	3414
"ALPPL2"	1143	4220	3677	2455
"ALS2CR11"	48	35	37	0
"ALS2CR12"	278	226	562	414
"ALX1"	27	0	0	0
"ALX3"	842	393	1374	1364
"ALX4"	97	83	100	119
"AMACR"	235	227	212	611
"AMBN"	376	753	293	549
"AMBP"	5740	2218	3300	4209
"AMDHD1"	1694	2033	2278	2147
"AMDHD2"	1210	445	1534	1069
"AMELX"	2831	4685	10969	6256
"AMER1"	1695	2261	4030	4237
"AMER3"	1599	1871	1971	2760
"AMFR"	3557	2064	4208	2741
"AMH"	3864	4815	6198	5785
"AMHR2"	24	54	15	31
"AMICA1"	745	1166	1212	1846
"AMIGO1"	128	0	0	0
"AMIGO3"	42	590	539	303
"AMMECR1"	196	19	569	114
"AMMECR1L"	1077	1566	1187	1133
"AMN"	606	588	764	391
"AMN1"	0	125	0	30
"AMOT"	3076	2284	2670	3550
"AMOTL2"	9182	7977	8462	11242
"AMPD1"	34	0	0	45
"AMPD2"	0	63	146	105
"AMPD3"	1443	2602	361	2117
"AMPH"	547	201	801	1080
"AMTN"	1213	988	1419	1281
"AMY1B"	244	284	401	358
"AMY2A"	923	1435	557	1177
"AMZ1"	4388	4448	8650	6695
"ANAPC1"	58	47	0	69
"ANAPC10"	4238	4676	5319	3820
"ANAPC11"	31	0	0	0
"ANAPC13"	0	31	42	149
"ANAPC16"	0	0	34	0
"ANAPC7"	37	254	130	53
"ANG"	5676	9005	7280	9082
"ANGEL1"	114	349	262	216
"ANGEL2"	4697	3406	9149	5790
"ANGPT1"	543	752	536	467
"ANGPT2"	130	0	335	230
"ANGPT4"	6523	9019	12611	8622
"ANGPTL1"	461	790	405	1486
"ANGPTL2"	83	35	7	115
"ANGPTL3"	70	0	83	158
"ANGPTL4"	2016	2311	2774	3077
"ANGPTL5"	52	235	53	513
"ANGPTL7"	48	119	38	4
"ANHX"	44	0	0	119
"ANK1"	850	1126	479	814
"ANK3"	1504	1313	2545	2870
"ANKAR"	173	218	636	529
"ANKDD1A"	11	0	0	0
"ANKDD1B"	0	0	101	0
"ANKEF1"	138	146	61	106
"ANKFN1"	1005	2024	1797	1303
"ANKFY1"	5481	5982	5720	8950
"ANKH"	4953	3789	6891	5109
"ANKHD1"	339	517	597	238
"ANKIB1"	106	251	151	46
"ANKK1"	217	59	51	233
"ANKLE1"	407	1804	1729	1080
"ANKMY1"	1291	1978	1212	1896
"ANKMY2"	3525	3368	7088	4549
"ANKRA2"	2356	2294	993	2170
"ANKRD1"	87	56	56	30
"ANKRD10"	0	57	0	0
"ANKRD11"	0	412	37	337
"ANKRD12"	147	502	330	484
"ANKRD13A"	98	90	36	52
"ANKRD13C"	503	552	831	376
"ANKRD13D"	391	403	999	827
"ANKRD16"	0	91	0	114
"ANKRD17"	181	240	611	483
"ANKRD18A"	2	0	0	0
"ANKRD2"	1436	982	1862	1892
"ANKRD20A1"	44	0	0	2
"ANKRD20A2"	788	856	352	700
"ANKRD20A3"	1499	2108	844	2330
"ANKRD20A4"	804	597	118	1020
"ANKRD23"	1050	520	1595	866
"ANKRD24"	20	0	85	54
"ANKRD26"	1345	2215	1186	1235
"ANKRD27"	5437	4042	8204	6886
"ANKRD30A"	0	346	100	114
"ANKRD30B"	107	365	211	366
"ANKRD31"	0	92	0	0
"ANKRD32"	0	453	149	90
"ANKRD33"	3	0	0	0
"ANKRD33B"	493	134	188	155
"ANKRD34C"	0	0	27	52
"ANKRD35"	2943	1527	1049	1567
"ANKRD36"	0	0	6	0
"ANKRD36B"	316	186	416	575
"ANKRD37"	791	1205	1553	1135
"ANKRD40"	2658	2554	1534	3618
"ANKRD42"	220	823	537	837
"ANKRD44"	5	0	0	0
"ANKRD45"	475	384	313	397
"ANKRD49"	0	649	617	361
"ANKRD50"	2137	1691	3543	2644
"ANKRD53"	1559	1838	3017	2951
"ANKRD55"	0	0	19	57
"ANKRD6"	1841	818	1589	1912
"ANKRD60"	36	67	6	7
"ANKRD61"	8224	7937	12936	10553
"ANKRD62"	18085	19063	10229	20109
"ANKRD63"	1024	1066	1195	1129
"ANKRD66"	21	294	37	257
"ANKRD7"	6729	8571	6863	8733
"ANKRD9"	3180	3303	7837	5979
"ANKS1B"	0	0	25	0
"ANKS4B"	8087	6689	5449	11133
"ANKS6"	934	1189	1384	1834
"ANKUB1"	340	1541	976	620
"ANKZF1"	0	0	25	0
"ANLN"	0	67	21	0
"ANO1"	11273	7908	12001	11433
"ANO10"	264	5057	2167	3690
"ANO2"	0	66	244	92
"ANO3"	144	161	322	130
"ANO4"	1031	596	357	485
"ANO5"	0	0	3	0
"ANO6"	493	339	177	532
"ANO9"	5067	7794	9514	5207
"ANOS1"	0	170	162	0
"ANP32B"	0	43	0	0
"ANP32C"	182	44	391	0
"ANP32D"	30	61	158	0
"ANP32E"	193	355	182	326
"ANPEP"	105	14	0	0
"ANTXR2"	2219	2240	4371	2887
"ANXA10"	2023	1880	1929	2055
"ANXA11"	729	1062	445	945
"ANXA13"	90	0	1	0
"ANXA2"	22	109	7	1
"ANXA2R"	384	644	708	563
"ANXA3"	2072	2720	1363	1581
"ANXA4"	3686	1523	5138	3316
"ANXA5"	1450	2205	1296	2136
"ANXA6"	1865	1744	1707	1987
"ANXA7"	485	1515	192	1015
"ANXA8"	22	7	15	59
"ANXA8L1"	210	409	482	256
"ANXA9"	2371	1402	1454	2052
"AOAH"	7286	5500	6656	7894
"AOC1"	0	0	29	0
"AOC3"	0	101	0	0
"AP1AR"	23	100	37	340
"AP1G1"	0	0	235	118
"AP1M1"	1913	4376	1032	2323
"AP1M2"	982	1602	1462	1630
"AP1S1"	5417	6118	6266	7255
"AP1S2"	2277	1011	1568	1840
"AP1S3"	5092	6073	12975	6623
"AP3B1"	18	0	0	0
"AP3B2"	0	0	49	0
"AP3D1"	378	232	54	346
