"transE-High_S47_L005"	"transE-Low_S45_L005"	"transE-Medium_S46_L005"	"transE-Pre_S48_L005"
"A1BG"	112.322395147751	127.424488322051	103.368590773567	129.083817329133
"A1CF"	4.80347676964608	6.91320637196272	8.89192178697353	5.15995052798201
"A2M"	25.6624101392051	22.1155485394341	3.51971904067702	12.7014166842634
"A3GALT2"	104.195965270337	40.9087309098182	98.0493161331456	94.0131645647712
"A4GALT"	55.2070823251104	44.3317748415668	78.8364137005778	46.9498795293309
"A4GNT"	12.4692992855881	7.01388413466121	15.7196474448282	8.64716984084898
"AACS"	20.2667239048081	32.2168840635156	32.9742099600268	27.4441324784977
"AADAC"	52.4105376304535	45.6070265024143	11.3530787101537	45.8158244682359
"AADACL3"	99.4582895523295	31.5792582330918	87.013806058241	52.0814786807855
"AADAT"	405.630582828538	436.438101297938	323.046694207101	413.107907380362
"AAED1"	29.5117716600859	19.5314859635063	10.1092682220949	26.2533746643481
"AAK1"	56.1940980996952	24.2297815561023	16.3547847153263	51.7979649155118
"AAMDC"	14.8052366187722	5.10100664338997	11.6706473454028	5.69862668200212
"AANAT"	103.932761063781	109.000457748228	73.0937142131574	112.498262060619
"AAR2"	23.7541796416745	21.1423301666821	10.3209806455943	21.8305599260778
"AARD"	160.422963895851	200.449425532686	273.982340061122	147.001887294433
"AARS2"	5.62598991513342	8.65828759206982	6.56308512848046	3.11865141801111
"AASDH"	0	3.42304393174853	1.21734643512138	0.368567894855858
"AASDHPPT"	112.256594096113	198.939259092209	158.466748989278	215.952435009006
"AASS"	0	7.28235816852384	0.21171242349937	3.65732757203121
"AATF"	456.593497322934	376.601951000804	84.5261850821234	427.17019013794
"AATK"	69.0253031692978	60.7758094156528	93.4181068690969	54.7181566978313
"ABAT"	53.2659513017603	21.4443634547776	44.3802167760554	45.3622024437979
"ABCA10"	11.8441892950177	25.6392702338812	16.3547847153263	9.18584599486908
"ABCA13"	11.4164824593643	19.5314859635063	15.0315820684553	25.0626168501984
"ABCA2"	0	0.302033288095459	0	0
"ABCA3"	577.404228132114	342.472189446017	516.790025761962	380.163607855554
"ABCA5"	25.7940122424831	35.3378947071687	19.9274318618782	40.9960904585824
"ABCA6"	109.492949927275	157.862731911226	77.089786206708	136.114958707921
"ABCA7"	88.8643202384525	49.8019332815178	86.8020936347416	102.376820640346
"ABCA8"	114.559630903477	220.115148513124	109.1906824198	189.046978684528
"ABCA9"	0	0	0.185248370561949	0
"ABCB10"	48.1334692739193	50.0704073153805	164.553481164885	51.8830190450939
"ABCB11"	172.135551087591	244.412048577692	88.3899368109869	202.031909134065
"ABCB5"	1.90823049753063	0	5.87501975210751	15.5649057135282
"ABCB6"	16.9108702712198	4.96676962645865	9.13009826341032	6.66257348393282
"ABCB7"	7.66582251594203	22.4847003359953	0.767457535185215	8.8456294765406
"ABCB9"	2.69784311719848	8.69184684630264	0.582209164623267	0
"ABCC1"	2.40173838482304	12.8531943711734	3.1227582466157	11.0570368456757
"ABCC11"	253.103745129365	123.229581542947	178.896997856967	248.925085910341
"ABCC12"	44.7776156403309	40.9758494182839	34.7737655597715	31.5550820749669
"ABCC2"	0	1.64440345740861	5.31927464042167	1.47427157942343
"ABCC3"	16.1212576515519	28.223332809809	24.5851051788643	48.1689887200079
"ABCC4"	6.08659727660633	113.698753340824	25.2467065022998	27.3023755958609
"ABCC5"	1.90823049753063	0.0335592542328287	0.370496741123897	2.92019178231949
"ABCC9"	21.056336524476	38.2239905711919	21.991627990997	21.1784782659482
"ABCD1"	7.04071252537165	5.00032888069148	3.04336608780344	16.1319332440756
"ABCD2"	3.02684837539342	23.4579187087473	31.0952622014699	15.7633653492198
"ABCD4"	15.792252393357	267.16522294755	120.17326438883	67.8731954065327
"ABCF1"	7.60002146430304	11.1081131510663	15.0580461213927	9.8095762784713
"ABCF2"	13.9498229474653	18.4575898280558	25.4319548728618	47.4318529302962
"ABCF3"	0.822513145487343	4.06066976217228	2.2494444996808	4.56457162090717
"ABCG2"	136.273977944343	174.910833061503	91.9890480104762	177.507968437887
"ABCG4"	1.0528168262238	12.6182795915436	15.9313598683276	8.53376433473949
"ABCG5"	2.86234574629595	2.51694406746216	2.88458177017891	0
"ABCG8"	154.698272403259	169.843385672346	137.957107962777	149.043186404404
"ABHD1"	28.1957506273061	10.5040465748754	14.7404774861436	30.2225673781804
"ABHD10"	1.97403154916962	3.65795871137833	2.88458177017891	6.97443862573393
"ABHD11"	15.59484923844	18.1219972857275	19.477542961942	16.0752304910209
"ABHD13"	4.50737203727064	0	0	0.822189919293838
"ABHD14A"	112.42109672521	146.2847892009	144.943617938256	97.5570866306929
"ABHD14B"	122.225453419419	170.48101150277	211.897671869932	188.820167672309
"ABHD15"	0.756712093848355	0	0.132320264687106	0
"ABHD16A"	3.42165468522734	12.6182795915436	13.946555898021	12.1343891537159
"ABHD16B"	0	0	0.396960794061318	0
"ABHD17A"	11.7783882433787	23.6257149799114	7.93921588122637	10.4900093151283
"ABHD17B"	95.6747290830877	198.737903566812	149.151402355306	121.76916218507
"ABHD17C"	148.644575652473	126.719743983161	138.698101445025	128.800303563859
"ABHD2"	21.5498444117684	29.9012955214504	24.002896014241	6.20895145949484
"ABHD3"	48.5940766353922	51.8826070439532	51.393190804472	51.4577483971833
"ABHD4"	30.4658869088512	15.9070865063608	35.620615253769	40.6275225637265
"ABHD8"	65.2088421742365	35.4050132156343	41.4427069000016	38.4161151945914
"ABI3"	145.091318863967	155.949854419955	290.654693411697	141.558423001177
"ABL1"	61.4910827566337	90.7442234455689	44.353752723118	77.5126634258397
"ABLIM1"	3.09264942703241	23.7263927426099	12.7027454099622	1.89954222733404
"ABLIM3"	144.038502037743	126.182795915436	162.595141247516	146.831779035268
"ABO"	393.029681439672	315.154956500495	406.011500165916	340.131464198902
"ABRA"	4.21126730489519	1.94643674550407	5.71623543448298	5.01819364534515
"ABRACL"	0	1.84575898280558	0	0
"ABT1"	0	0	0	0.793838542766464
"ABTB2"	20.5628286371836	2.78541810132479	3.01690203486602	5.64192392894737
"ACACA"	6.44850306062077	6.64473233810009	3.51971904067702	3.91248996077757
"ACACB"	18.1610902523605	37.0494166730429	37.1555303241394	28.4364306569558
"ACAD8"	132.095611165267	169.373556113087	62.5080930381889	157.520247986088
"ACADL"	9.01474407454127	5.70507321958089	1.58784317624527	16.6706093980957
"ACADM"	0.987015774584811	0	0	0
"ACADVL"	0	1.91287749127124	0.555745111685846	3.60062481897646
"ACAN"	81.2642987741494	83.7303393109077	98.4198128742695	53.9810209081195
"ACAP2"	60.5698680336879	97.9594631056271	51.0226940633481	101.186062826197
"ACAP3"	10.330765107321	7.85286549048192	7.48932698129021	6.01049182380323
"ACAT2"	25.7940122424831	14.3633608116507	29.216314442913	12.6163625546813
"ACBD3"	25.3334048810101	14.7325126082118	8.07153614591347	19.9877204517985
"ACBD4"	15.2329434544256	10.8060798629709	13.5495951039597	22.1140736913515
"ACBD5"	1.38182208441874	4.73185484682885	2.09066018205628	0
"ACBD6"	12.0744929757542	5.90642874497786	8.44203288703737	6.5775193543507
"ACBD7"	0.296104732375443	6.37625830423746	0.793921588122637	9.41265700708807
"ACCS"	25.6624101392051	46.7480411463304	15.3756147566417	30.5911352730362
"ACE"	12.9957076987	6.27558054153897	10.1886603809072	12.673065307736
"ACE2"	178.584054148212	136.653283236079	125.069114182253	147.03023867096
"ACER2"	4.21126730489519	15.8064087436623	15.5608631272037	15.0829323125628
"ACER3"	0	53.7619252809916	14.6610853273314	24.7507517083972
"ACHE"	20.8918338953785	31.0758694195994	41.0192820530029	37.0836004978048
"ACIN1"	10.659770365516	13.6586164727613	9.95048390447038	9.75287352541656
"ACKR2"	157.461916572097	95.1069264958366	165.188618435383	142.720829438799
"ACKR3"	80.6720893093986	103.832332596372	178.15600437472	68.581979819717
"ACKR4"	167.825582205237	225.920899495403	147.66941539081	158.002221387054
"ACLY"	2.86234574629595	4.39626230450056	0.502817005811003	1.47427157942343
"ACMSD"	57.9378259681284	69.2327414823257	78.5717731712036	48.7927190036102
"ACO2"	0	0	1.66723533505754	0
"ACOT11"	36.1247773498041	91.11337524213	120.093872230018	70.4531706705237
"ACOT13"	104.163064744517	50.1375258238461	53.8808117805896	77.3425551666755
"ACOT4"	55.2728833767494	36.1433168087566	95.2176624688416	78.0513395798598
"ACOT7"	12.4363987597686	12.349805557681	21.5946671969357	10.773523080402
"ACOT8"	4.57317308890962	5.1345658976228	3.75789551711381	7.08784413184343
"ACOT9"	13.6866187409094	18.6925046076856	10.8237976514053	23.7584535299392
"ACOX1"	11.7125871917398	12.1148907780512	20.8801377676253	18.1732323540465
"ACOX2"	5.13248202784102	11.7792982357229	2.06419612911886	8.193547816411
"ACOX3"	88.0418070929651	23.5921557256786	64.6252172731826	78.7884753695715
"ACOXL"	0	0	0.0793921588122637	0
"ACP1"	2.92814679793494	4.96676962645865	4.12839225823771	3.82743583119545
"ACP2"	49.646893461616	49.9361702984492	45.9945240052381	56.901212690439
"ACP5"	107.22281364573	107.188258019655	114.536421113159	66.3705724505818
"ACP6"	0	0	1.61430722918269	0
"ACPP"	187.664599274392	155.077313809902	157.83161171878	161.744603088667
"ACPT"	479.163258035106	658.298331031169	680.867153973973	586.022952820815
"ACRBP"	0	0	0	0.0283513765273737
"ACRC"	176.939027857237	158.634594758581	137.110258268779	156.216084665829
"ACRV1"	0	0	0	3.2320569241206
"ACSBG1"	13.258911905256	22.4847003359953	16.8311376681999	16.8123662807326
"ACSBG2"	29.3801695568079	57.6883580262326	67.9332238903603	31.2715683096932
"ACSF2"	0	1.00677762698486	0.21171242349937	0.0850541295821211
"ACSF3"	114.230625645282	117.490949069133	175.139102339854	93.7580021760249
"ACSL4"	4.30996888235368	17.5514899637694	8.17739235766316	12.3328487894076
"ACSL5"	7.40261830938608	5.06744738915714	2.35530071143049	6.49246522476858
"ACSM2A"	23.655478064216	140.378360455923	38.0817721769491	82.9844790956228
"ACSM2B"	0	0.0335592542328287	0	0.0283513765273737
"ACSM3"	207.174611085352	221.25616315704	179.505671074528	241.355268377532
"ACSM4"	2.03983260080861	0.134237016931315	1.90541181149433	3.3454624302301
"ACSM5"	0	0	0.688065376372952	4.36611198521555
"ACSM6"	11.7454877175593	5.53727694841674	19.159974326693	15.933473608384
"ACSS2"	15.2987445060646	35.8077242664283	14.9257258567056	29.3720260823592
"ACSS3"	2.0727331266281	20.571822844724	10.929653863155	9.89463040805342
"ACTA1"	14.2788282056603	15.2694606759371	24.3998568083024	23.9569131656308
"ACTA2"	1.5792252393357	9.63150596482185	10.5326930690936	3.82743583119545
"ACTC1"	72.3811568028861	122.659074220989	63.7254394733103	70.4248192939963
"ACTG2"	1.28312050696025	0	0.793921588122637	1.92789360386141
"ACTL10"	82.4487177036512	325.994595617698	294.544909193498	218.730869908688
"ACTL6B"	13.4234145343534	0	6.32490865204367	5.98214044727585
"ACTL7A"	211.287176812789	179.273536111771	289.675523453013	244.445568419016
"ACTL7B"	53.4304539308578	43.4592342315132	54.7276614745871	67.9582495361148
"ACTL8"	77.2175340983517	78.1259438540253	65.4985310201175	61.1822705460725
"ACTN1"	3.78356046924178	6.57761382963443	4.02253604648803	3.96919271383232
"ACTN2"	0	0	0.8733137469349	0
"ACTN3"	5.09958150202152	15.0009866420744	8.6008172046619	2.1547046160804
"ACTR3"	0	0	1.27027454099622	1.30416332025919
"ACTR3B"	2.43463891064253	2.01355525396972	0.317568635249055	0.623730283602222
"ACTR3C"	0	0	0.370496741123897	0.22681101221899
"ACTR5"	0.559308938931393	0	0	0
"ACTR6"	12.3705977081296	22.4511410817624	16.9369938799496	12.8715249434277
"ACTR8"	30.6303895379486	27.9884180301792	38.3464127063233	36.4031674611478
"ACTRT2"	106.959609439174	106.852665477327	111.228414495981	104.616579386009
"ACTRT3"	1.21731945532127	0	0.158784317624527	3.48721931286697
"ACVR1"	86.5283829052684	48.4931223664375	69.3887468019184	104.900093151283
"ACVR1B"	3.75065994342228	5.90642874497786	5.58391516979588	1.58767708553293
"ACVR1C"	66.0313553197239	64.4337681270312	49.5142430459151	56.0223200180904
"ACVR2A"	69.3872089533122	92.4557454114432	55.600975221522	75.3296074332319
"ACVR2B"	23.7870801674939	0	9.13009826341032	10.1214414202724
"ACVRL1"	322.227749876121	78.0588253455596	251.11739832319	164.551389364877
"ACY1"	112.42109672521	172.662363027904	187.471351008692	157.151680091232
"ACY3"	1.94113102335013	0.234914779629801	14.7404774861436	0.680433036656969
"ACYP2"	88.1076081446041	150.110544183443	109.323002684487	126.333733805977
"ADA"	91.4634617781925	60.9771649410498	166.591213241067	93.389434281169
