group1	group2	corr_value
transE.High_S47_L005	transE.High_S47_L005	1
transE.Low_S45_L005	transE.High_S47_L005	0.8964871867732698
transE.Medium_S46_L005	transE.High_S47_L005	0.9129557889704567
transE.Pre_S48_L005	transE.High_S47_L005	0.9417582391314991
transE.High_S47_L005	transE.Low_S45_L005	0.8964871867732698
transE.Low_S45_L005	transE.Low_S45_L005	1
transE.Medium_S46_L005	transE.Low_S45_L005	0.9106960614496752
transE.Pre_S48_L005	transE.Low_S45_L005	0.9434684671720115
transE.High_S47_L005	transE.Medium_S46_L005	0.9129557889704567
transE.Low_S45_L005	transE.Medium_S46_L005	0.9106960614496752
transE.Medium_S46_L005	transE.Medium_S46_L005	1
transE.Pre_S48_L005	transE.Medium_S46_L005	0.9371289102524233
transE.High_S47_L005	transE.Pre_S48_L005	0.9417582391314991
transE.Low_S45_L005	transE.Pre_S48_L005	0.9434684671720115
transE.Medium_S46_L005	transE.Pre_S48_L005	0.9371289102524233
transE.Pre_S48_L005	transE.Pre_S48_L005	1
